Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,7900,7901.600098,7828.600098,7863.200195,7227.840332,6606
2018-01-02,7855,7923.049805,7843,7863.549805,7228.163086,65613
2018-01-03,7900,7935,7850.149902,7860.100098,7224.991211,27948
2018-01-04,7865,7902.200195,7839,7869.25,7233.401367,27902
2018-01-05,7846.299805,7884,7841,7856.75,7221.911621,9970
2018-01-08,7830,7968.549805,7830,7941.149902,7299.491699,35919
2018-01-09,7941.149902,7968.850098,7688,7779.25,7150.673828,58444
2018-01-10,7850,7866.600098,7779.299805,7846.649902,7212.62793,22046
2018-01-11,7854.799805,7910,7808.350098,7874.299805,7238.043457,47060
2018-01-12,7878,7900.049805,7745.049805,7789.25,7159.865723,32341
2018-01-15,7815,7860,7745,7757.950195,7131.096191,26404
2018-01-16,7760,7824.950195,7722,7774.600098,7146.399902,27957
2018-01-17,7799.700195,7815,7676.600098,7761.899902,7134.725586,70240
2018-01-18,7830,7830,7686.600098,7736.200195,7111.103027,30001
2018-01-19,7800,7800,7667,7680.649902,7060.041016,19037
2018-01-22,7667.549805,7715,7640.149902,7667,7047.493652,31062
2018-01-23,7699,7699,7585,7599.700195,6985.631836,36738
2018-01-24,7630,7633.950195,7548.5,7592.899902,6979.381836,15863
2018-01-25,7553,7625.600098,7433,7490.75,6885.48584,37438
2018-01-29,7530,7586.950195,7460,7530.850098,6922.344727,46573
2018-01-30,7520,7521.25,7405.049805,7455.899902,6853.45166,28872
2018-01-31,7483.950195,7514,7416.200195,7469.149902,6865.630371,24839
2018-02-01,7499,7536.950195,7280,7310.850098,6720.121582,106395
2018-02-02,7300,7415,7125,7135.450195,6558.894043,64413
2018-02-05,7130,7199,6997.649902,7134.700195,6558.205566,55575
2018-02-06,7000,7035.100098,6985,7016.299805,6449.37207,68219
2018-02-07,7097.950195,7116,6975.799805,7007,6440.82373,40086
2018-02-08,7014,7094,6887.25,6986,6421.52002,68289
2018-02-09,6973,7033.200195,6922.200195,6969.649902,6406.490723,74532
2018-02-12,6998,7199,6994.049805,7141.899902,6564.823242,104885
2018-02-14,7200,7384.200195,7162,7264.950195,6677.929199,117449
2018-02-15,7500,7645,7427.049805,7583.200195,6970.464844,354436
2018-02-16,7650,7720,7575,7592.850098,6979.334961,76991
2018-02-19,7630,7630,7490.049805,7506.700195,6900.145508,50746
2018-02-20,7520,7605.950195,7520,7572.649902,6960.76709,49865
2018-02-21,7579,7618.600098,7570.5,7597.549805,6983.65625,73367
2018-02-22,7599,7658.899902,7479.25,7543.299805,6933.788574,94421
2018-02-23,7573,7618.950195,7526.100098,7582.799805,6970.097168,66464
2018-02-26,7615,7650,7562.149902,7625.25,7009.116699,65894
2018-02-27,7644,7794,7620,7759.950195,7132.933594,69883
2018-02-28,7759,7874,7718.950195,7761.649902,7134.495117,75576
2018-03-01,7777,7876,7777,7849.399902,7215.155762,61086
2018-03-05,7880,7880,7695.200195,7714,7090.696289,63643
2018-03-06,7763.399902,7780,7650,7688.850098,7067.578125,62306
