Date,Open,High,Low,Close,Adj Close,Volume
23-07-2018,10403,10447,10325.04981,10393.40039,9619.720703,19721
24-07-2018,10402,10462.09961,10252.2002,10290.54981,9524.524414,32079
25-07-2018,10309.75,10351.40039,10200,10233.59961,9471.8125,23010
26-07-2018,10203.04981,10360,10203.04981,10323.90039,9555.391602,28834
27-07-2018,10380,10412.40039,10168.5,10284.15039,9518.601563,33320
30-07-2018,10299.9502,10300,10084.7002,10122.40039,9368.891602,35115
31-07-2018,10179.90039,10580,10111.25,10530.40039,9746.521484,70114
01-08-2018,10600,10950.79981,10551.04981,10836.84961,10030.1582,69806
02-08-2018,10850,10860,10603.40039,10759.5,9958.566406,34515
03-08-2018,10810,10832,10210,10324.59961,9556.038086,165670
06-08-2018,10500,10659.29981,10400.09961,10534.65039,9750.455078,58802
07-08-2018,10604,10650,10500,10537.79981,9753.37207,37284
08-08-2018,10580.59961,10831,10577.15039,10766.34961,9964.905273,69638
09-08-2018,10767,10970,10767,10882.4502,10072.36426,81646
10-08-2018,10900,10957,10650,10686.04981,9908.791992,57383
13-08-2018,10660,10935,10615.15039,10851.25,10061.97754,52999
14-08-2018,10852,10951,10780.09961,10856.9502,10067.26367,37356
16-08-2018,10850,10955,10803,10857.25,10067.54297,49171
17-08-2018,10887,10920,10785,10873,10082.14746,58903
20-08-2018,10920,10948,10811.29981,10841.04981,10052.52148,41321
21-08-2018,10859,10990,10830,10886.40039,10094.57324,62485
23-08-2018,10948,11585,10947.40039,11544.04981,10704.38672,194040
24-08-2018,11486,11541.75,11303.29981,11362.7002,10536.22656,49459
27-08-2018,11410,11532.79981,11273,11333.34961,10509.0127,47997
28-08-2018,11399.84961,11428.90039,11308.4502,11326.09961,10502.29004,28097
29-08-2018,11358,11522,11269.15039,11299.29981,10477.44043,62350
30-08-2018,11302,11401.75,11257.7002,11286.40039,10465.47754,83213
31-08-2018,11287,11705,11287,11582.25,10739.80957,185968
03-09-2018,11679.9502,11679.9502,11251.2002,11277.90039,10457.5957,59462
04-09-2018,11330,11345.5,10779.4502,10841.2002,10052.65918,81569
05-09-2018,10838.9502,10838.9502,10175,10386.04981,9630.614258,129802
06-09-2018,10458,10560,10247,10335.54981,9583.788086,90549
07-09-2018,10370,10650,10305.54981,10446.54981,9686.714844,112689
10-09-2018,10450,10515,10275.15039,10330.29981,9578.921875,37274
11-09-2018,10300,10385,10001,10047.7002,9316.875,60262
12-09-2018,10080,10453.79981,10023,10354,9600.897461,100962
14-09-2018,10457.5,10572,10302.79981,10335.4502,9583.696289,93400
17-09-2018,10348,10722.7002,10115,10175.04981,9434.960938,30582
18-09-2018,10247,10430,10191.54981,10243.54981,9498.478516,37699
19-09-2018,10364,10501,10104,10145,9407.099609,38006
21-09-2018,10209,10258.90039,9199.950195,9749.599609,9040.458008,152670
24-09-2018,9878,9898.599609,9615,9662.5,8959.692383,31895
25-09-2018,9625.049805,9844.099609,9390,9697.349609,8992.007813,87995
26-09-2018,9799.900391,9833,9549.5,9729.349609,9021.679688,57887
27-09-2018,9796,9835,9488.5,9578.650391,8881.941406,83560
28-09-2018,9720,9813,9559.349609,9699.650391,8994.140625,115954
01-10-2018,9723.950195,9750.450195,9466.5,9609.650391,8910.6875,53328
03-10-2018,9600,9600,9320.099609,9343.799805,8664.174805,86534
04-10-2018,9180,9449.599609,9113.799805,9347.950195,8668.021484,82801
05-10-2018,9340,9500,9145.299805,9418.900391,8733.80957,103232
08-10-2018,9418.950195,9479.150391,9216.450195,9380.75,8698.436523,75687
09-10-2018,9380.75,9610.25,9257.049805,9491.950195,8801.549805,81173
10-10-2018,9480.049805,9650,9407.75,9510.25,8818.515625,54171
11-10-2018,9300,9449.950195,9047.049805,9384.400391,8701.821289,91371
12-10-2018,9460,9779.400391,9430.900391,9699.849609,8994.328125,106845
15-10-2018,9730,9730,9559,9655.900391,8953.574219,35037
16-10-2018,9659.950195,9763.650391,9636.200195,9737.5,9029.238281,49375
17-10-2018,9800,9860,9684.400391,9725.349609,9017.970703,45581
19-10-2018,9676.200195,9695.150391,9480,9609.049805,8910.128906,69090
22-10-2018,9710,9757.75,9620,9641,8939.757813,114558
23-10-2018,9301.5,9550,9300,9352.450195,8672.196289,92419
24-10-2018,9440.049805,9623.5,9436,9534.200195,8840.725586,99288
25-10-2018,9500,9769.950195,9424.5,9538.25,8844.481445,123822
26-10-2018,9588.5,9710,9467.549805,9569.450195,8873.413086,71663
29-10-2018,9759,9860.799805,9600,9683.150391,8978.842773,239463
30-10-2018,9688,9764.950195,9612.5,9718.450195,9011.572266,62706
31-10-2018,9800,10198.29981,9725,10147.84961,9409.740234,162484
01-11-2018,10239,10315.59961,9903.5,9969.5,9244.365234,77413
02-11-2018,10069.90039,10349,9990.049805,10229.65039,9485.59082,91546
05-11-2018,10234.5,10400,10163.04981,10332.65039,9581.100586,60163
06-11-2018,10335.04981,10422.09961,10081.29981,10160.25,9421.238281,39829
07-11-2018,10250,10250.04981,10150.25,10220.40039,9477.012695,3465
09-11-2018,10284,10375,10153.29981,10226,9482.206055,55600
