Date,Open,High,Low,Close,Adj Close,Volume
2015-02-27,7044.649902,7058.899902,6999.5,7020.899902,6275.460449,65642
2015-02-28,null,null,null,null,null,null
2015-03-02,7049.899902,7049.899902,6949.950195,6990.049805,6247.886719,26080
2015-03-03,7040,7160.5,6932.299805,7096.25,6342.811035,26243
2015-03-04,7164,7319,7112.950195,7299.75,6524.70459,45281
2015-03-05,7300,7366.450195,7246.299805,7295.950195,6521.307129,30384
2015-03-09,7297,7425,7235,7384.299805,6600.277832,21576
2015-03-10,7386.899902,7505,7349.450195,7397.149902,6611.763184,18258
2015-03-11,7389.600098,7445.75,7253,7280.700195,6507.677734,19345
2015-03-12,7300.100098,7379.899902,7300.100098,7328.899902,6550.760254,13701
2015-03-13,7355.350098,7357.700195,7254.049805,7299,6524.035156,21515
2015-03-16,7347.899902,7347.899902,7255,7276.799805,6504.190918,12723
2015-03-17,7300,7400,7300,7389.25,6604.70166,27094
2015-03-18,7410,7420,7366,7408.399902,6621.817383,49611
2015-03-19,7420,7420,7321,7367.350098,6585.127441,27013
2015-03-20,7400,7400,7225,7264.100098,6492.839355,27446
2015-03-23,7284,7284.399902,7090,7133.899902,6376.463867,23625
2015-03-24,7185,7190,6990,7021.649902,6276.132324,26775
2015-03-25,6972,7094.950195,6972,7041.799805,6294.14209,27132
2015-03-26,7020,7030.899902,6765,6845.200195,6118.415039,42361
2015-03-27,6898,6916.950195,6771,6815.049805,6091.466309,26243
2015-03-30,6840,6999,6840,6944,6206.725586,45193
2015-03-31,6950,7132,6827.600098,6947.350098,6209.720215,64200
2015-04-01,7051,7059.950195,6870,6923.149902,6188.089844,13749
2015-04-06,6988.899902,7150,6926.399902,7121.350098,6365.246094,24913
2015-04-07,7121.399902,7174.950195,7064.149902,7157.450195,6397.513672,17718
2015-04-08,7146,7168.149902,7010,7046.200195,6298.075684,12695
2015-04-09,7060,7112,7060,7101,6347.056152,30467
2015-04-10,7122,7139.700195,7065,7098.5,6344.820801,44957
2015-04-13,7119.950195,7119.950195,7066.200195,7098.549805,6344.865723,29502
2015-04-15,7101,7109.350098,7025,7068.399902,6317.91748,23427
2015-04-16,7068.399902,7095,6990,7026.799805,6280.733398,26406
2015-04-17,7024.25,7053,6990,7000.850098,6257.540039,14346
2015-04-20,7001,7010,6900,6953.200195,6214.949219,15258
2015-04-21,6999.799805,6999.799805,6865,6887.850098,6156.538086,11133
2015-04-22,6887,6940,6825.299805,6872.049805,6142.415527,17374
2015-04-23,6934,6934,6866,6908.700195,6175.172852,35827
2015-04-24,6950,6950,6780.100098,6849.75,6122.482422,10639
2015-04-27,6849,6868,6760.899902,6848.100098,6121.007813,34239
2015-04-28,6840,6849.899902,6795.450195,6836.850098,6110.951172,25326
2015-04-29,6879.950195,6879.950195,6525,6565.450195,5868.367676,41655
2015-04-30,6565.200195,6709.950195,6525.899902,6572.600098,5874.758789,42919
2015-05-04,6660,6810,6623.399902,6801.450195,6079.311523,16941
2015-05-05,6809,6835,6772,6807.399902,6084.628906,14582
2015-05-06,6809.399902,6820,6756.25,6802.75,6080.473145,17433
2015-05-07,6850,6850,6725,6767.549805,6049.010742,28509
2015-05-08,6761,6869.950195,6761,6796.299805,6074.70752,22452
2015-05-11,6856.899902,6870,6763.200195,6806.299805,6083.644531,39358
2015-05-12,6812.200195,6845,6680,6704.450195,5992.609863,38069
2015-05-13,6705.299805,6810.649902,6650,6701.5,5989.973633,34511
2015-05-14,6705,6919.700195,6705,6854.5,6126.728027,20242
2015-05-15,6875,7050,6860.149902,7031.299805,6284.754883,23138
2015-05-18,7100.100098,7349,6941,7077.350098,6325.916992,37666
2015-05-19,7100,7157.950195,6902.5,7028.700195,6306.044434,26114
2015-05-20,7068.700195,7116.299805,6855,6961.600098,6245.844238,30255
2015-05-21,6874.899902,6999,6830,6948.899902,6234.450195,30907
2015-05-22,6950,7119.5,6928.049805,6995.899902,6276.617188,42396
2015-05-25,6926,7013.899902,6905,6936.600098,6223.413574,12915
2015-05-26,6960,6993,6535.100098,6805.350098,6105.659668,62840
2015-05-27,6805.350098,7135,6776,7062.5,6336.370117,61700
2015-05-28,7090,7210,6955.5,7057.649902,6332.018066,34215
2015-05-29,6992,7057.649902,6564.799805,6751.549805,6057.38916,108338
2015-06-01,6700,6733,6530.950195,6670.200195,5984.404785,68323
2015-06-02,6772,6999.899902,6755.149902,6803.25,6103.774902,75154
2015-06-03,6500,6533,5980,6186.950195,5550.838867,390444
2015-06-04,5880,6050,5800.549805,6004.450195,5387.103516,430477
2015-06-05,5830,6125,5711,6011.600098,5393.51709,756189
2015-06-08,5850,5850,5501,5569,4996.422852,344869
2015-06-09,5590.350098,6120,5525,5964.350098,5351.125488,568881
2015-06-10,6049.899902,6240,6021.25,6060.350098,5437.256348,247150
2015-06-11,6158.899902,6306,5975.75,6164.700195,5530.875977,302802
2015-06-12,6184.5,6184.5,5925.350098,6087.200195,5461.344727,104699
2015-06-15,6048,6050,5892.399902,5955.049805,5342.782227,73067
2015-06-16,5899,5899,5755,5784.649902,5189.901855,87482
